time,index,energy
371.000000, 2, 329292.235387594
372.000000, 2, 329168.784951029
373.000000, 2, 329047.422584989
374.000000, 2, 328921.849484821
375.000000, 2, 328799.099698689
376.000000, 2, 328679.426370769
377.000000, 2, 328558.207810926
378.000000, 2, 328440.082642523
379.000000, 2, 328316.804049620
380.000000, 2, 328195.305235730
381.000000, 2, 328076.167119607
382.000000, 2, 327957.019147667
383.000000, 2, 327833.784048532
384.000000, 2, 327713.293620524
385.000000, 2, 327596.109848479
386.000000, 2, 327476.820831841
387.000000, 2, 327359.563158566
388.000000, 2, 327242.645379002
389.000000, 2, 327122.902768701
390.000000, 2, 327006.411618908
391.000000, 2, 326886.716800357
392.000000, 2, 326770.714267125
393.000000, 2, 326653.730540148
394.000000, 2, 326537.684752955
395.000000, 2, 326420.635277515
396.000000, 2, 326302.967615989
397.000000, 2, 326184.141946798
398.000000, 2, 326065.885840527
399.000000, 2, 325943.376236746
400.000000, 2, 325827.227854027
401.000000, 2, 325710.651931597
402.000000, 2, 325596.102734713
403.000000, 2, 325476.542117450
404.000000, 2, 325359.339651830
405.000000, 2, 325243.911897712
406.000000, 2, 325127.711189544
407.000000, 2, 325012.296723893
408.000000, 2, 324894.594347122
409.000000, 2, 324779.953054406
410.000000, 2, 324665.700666021
411.000000, 2, 324551.955122449
412.000000, 2, 324436.210204999
413.000000, 2, 324322.733330798
414.000000, 2, 324208.894199350
415.000000, 2, 324095.381656265
416.000000, 2, 323980.676256989
417.000000, 2, 323868.203278536
418.000000, 2, 323752.749765980
419.000000, 2, 323638.575627192
420.000000, 2, 323525.688643895
421.000000, 2, 323409.859633528
422.000000, 2, 323294.854347838
423.000000, 2, 323181.628448207
424.000000, 2, 323067.637511453
425.000000, 2, 322956.597495229
426.000000, 2, 322846.371183164
427.000000, 2, 322730.677323261
428.000000, 2, 322620.056489509
429.000000, 2, 322507.839505641
430.000000, 2, 322397.038784728
431.000000, 2, 322283.867953761
432.000000, 2, 322172.553521819
433.000000, 2, 322061.560311750
434.000000, 2, 321948.725222607
435.000000, 2, 321838.390222522
436.000000, 2, 321727.883218302
437.000000, 2, 321616.649393703
438.000000, 2, 321505.376928998
439.000000, 2, 321393.717938909
440.000000, 2, 321283.253784591
441.000000, 2, 321173.107053543
442.000000, 2, 321062.120347931
443.000000, 2, 320953.150035987
444.000000, 2, 320844.364592128
445.000000, 2, 320736.153720626
446.000000, 2, 320628.072743444
447.000000, 2, 320517.933577367
448.000000, 2, 320407.604838043
449.000000, 2, 320299.083225265
