time,index,energy
8710.000000, 3, 212832.875189051
8711.000000, 3, 212243.834576578
8712.000000, 3, 211661.397903920
8713.000000, 3, 211085.746774632
8714.000000, 3, 210512.227619996
8715.000000, 3, 209939.133712644
8716.000000, 3, 209365.155802487
8717.000000, 3, 208796.242029094
8718.000000, 3, 208233.612246883
8719.000000, 3, 207671.228360163
8720.000000, 3, 207118.893716686
8721.000000, 3, 206558.114709639
8722.000000, 3, 206003.390570244
8723.000000, 3, 205462.277241735
8724.000000, 3, 204914.877891433
8725.000000, 3, 204364.391441256
8726.000000, 3, 203816.294947677
8727.000000, 3, 203273.754257537
8728.000000, 3, 202736.740877533
8729.000000, 3, 202215.019710131
8730.000000, 3, 201685.309146513
8731.000000, 3, 201158.489154302
8732.000000, 3, 200625.925955702
8733.000000, 3, 200110.184368302
8734.000000, 3, 199603.674973951
8735.000000, 3, 199093.524082586
8736.000000, 3, 198585.574250889
8737.000000, 3, 198081.824576366
8738.000000, 3, 197581.095130411
8739.000000, 3, 197068.606882905
8740.000000, 3, 196575.493544175
8741.000000, 3, 196081.583018363
8742.000000, 3, 195587.674493271
8743.000000, 3, 195086.406139237
8744.000000, 3, 194595.552440456
8745.000000, 3, 194113.022469852
8746.000000, 3, 193626.081123112
8747.000000, 3, 193148.235628114
8748.000000, 3, 192667.025259644
8749.000000, 3, 192191.967694246
8750.000000, 3, 191720.850794222
8751.000000, 3, 191241.214722851
8752.000000, 3, 190767.921302853
8753.000000, 3, 190302.116254086
8754.000000, 3, 189827.412036510
8755.000000, 3, 189366.737772109
8756.000000, 3, 188905.667444128
8757.000000, 3, 188442.804412156
8758.000000, 3, 187983.831317650
8759.000000, 3, 187528.382383307
8760.000000, 3, 187069.049915995
8761.000000, 3, 186622.387044143
8762.000000, 3, 186176.548637252
8763.000000, 3, 185726.224887670
8764.000000, 3, 185275.010417697
8765.000000, 3, 184814.536152471
8766.000000, 3, 184369.725419203
8767.000000, 3, 183937.708449365
8768.000000, 3, 183510.444396084
8769.000000, 3, 183070.683092195
8770.000000, 3, 182629.673577849
8771.000000, 3, 182201.851395173
8772.000000, 3, 181779.430000674
8773.000000, 3, 181353.431890771
8774.000000, 3, 180934.837165040
8775.000000, 3, 180514.439378189
8776.000000, 3, 180105.140741943
8777.000000, 3, 179686.634795171
8778.000000, 3, 179277.046813957
8779.000000, 3, 178842.802644150
8780.000000, 3, 178433.065098557
8781.000000, 3, 178030.925868252
8782.000000, 3, 177637.342845887
8783.000000, 3, 177234.466365338
8784.000000, 3, 176826.716421661
8785.000000, 3, 176418.303520161
8786.000000, 3, 176022.285385969
8787.000000, 3, 175631.089862007
8788.000000, 3, 175240.270613132
8789.000000, 3, 174860.301858362
8790.000000, 3, 174472.494175193
8791.000000, 3, 174084.066529207
8792.000000, 3, 173702.767247825
8793.000000, 3, 173316.748490714
8794.000000, 3, 172931.867384783
8795.000000, 3, 172551.035177268
8796.000000, 3, 172170.003105163
8797.000000, 3, 171801.793008064
8798.000000, 3, 171429.818561871
8799.000000, 3, 171065.346713135
8800.000000, 3, 170691.601710343
8801.000000, 3, 170328.704863749
8802.000000, 3, 169963.143524883
8803.000000, 3, 169591.520742836
8804.000000, 3, 169227.115813065
8805.000000, 3, 168872.853718438
8806.000000, 3, 168519.225900841
8807.000000, 3, 168153.632726127
8808.000000, 3, 167795.303741260
8809.000000, 3, 167448.310188226
8810.000000, 3, 167101.995092392
8811.000000, 3, 166745.048523145
8812.000000, 3, 166397.483385650
8813.000000, 3, 166052.560474229
8814.000000, 3, 165712.018189472
8815.000000, 3, 165372.121854588
8816.000000, 3, 165024.666311041
8817.000000, 3, 164698.476177691
8818.000000, 3, 164362.299286099
8819.000000, 3, 164031.607419576
8820.000000, 3, 163698.671864083
8821.000000, 3, 163368.616736930
8822.000000, 3, 163041.186349331
8823.000000, 3, 162718.056136257
8824.000000, 3, 162399.225187241
8825.000000, 3, 162075.069440469
8826.000000, 3, 161761.089503094
8827.000000, 3, 161447.207282197
8828.000000, 3, 161130.213479564
8829.000000, 3, 160811.664666974
8830.000000, 3, 160505.936069048
8831.000000, 3, 160188.659080862
8832.000000, 3, 159882.143527212
8833.000000, 3, 159571.734409507
8834.000000, 3, 159263.260450045
8835.000000, 3, 158952.908082315
8836.000000, 3, 158642.933238704
8837.000000, 3, 158337.400401021
8838.000000, 3, 158038.617694987
8839.000000, 3, 157744.339640986
8840.000000, 3, 157443.946761826
8841.000000, 3, 157147.592855532
8842.000000, 3, 156852.837892311
8843.000000, 3, 156566.823621740
8844.000000, 3, 156265.566753632
8845.000000, 3, 155973.716649828
8846.000000, 3, 155683.929049953
8847.000000, 3, 155394.804140646
